Timestamp,IP,Method,Status,Size,UserAgent,Country,Message
2025-01-01 00:01:29,54.239.28.1,GET,200,1416,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",USA,GET /index.html HTTP/1.1
2025-01-01 00:02:12,54.38.0.0,GET,200,439,python-requests/2.25.1,France,GET /search?q=' OR 1=1 -- HTTP/1.1
2025-01-01 00:03:06,200.147.67.142,POST,500,4093,Nmap Scripting Engine,Brazil,POST /api/upload HTTP/1.1
2025-01-01 00:04:01,192.168.1.5,GET,200,2863,"Mozilla/5.0 (Linux; Android 10; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Mobile Safari/537.36",USA,GET /index.html HTTP/1.1
2025-01-01 00:05:18,10.0.0.2,GET,200,3146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",USA,GET /about HTTP/1.1
2025-01-01 00:06:22,95.31.18.119,POST,403,3525,"Mozilla/5.0 (Linux; Android 10; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Mobile Safari/537.36",Russia,POST /login HTTP/1.1
2025-01-01 00:07:00,109.252.1.2,POST,500,3771,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",Russia,POST /api/upload HTTP/1.1
2025-01-01 00:08:16,192.168.1.5,GET,200,563,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",USA,GET /about HTTP/1.1
2025-01-01 00:09:28,54.239.28.1,POST,200,1167,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",USA,POST /login HTTP/1.1
2025-01-01 00:09:29,10.0.0.2,GET,200,4868,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",USA,GET /images/logo.png HTTP/1.1
